claim_id,claim,status,source_paths,observables,competing_hypotheses,disconfirming_condition,evidence_refs,evaluation_state,notes
ED-IDENT-001,"Named identity threads exhibit persistent identity-specific linguistic or semantic divergence across time.",hypothesis,"Vesselbound/Vesselbound_Falsifiability.md;Vesselbound/Plural_Identity_Scaffold.md","blinded attribution; lexical divergence; semantic divergence; cross-session persistence","prompt-conditioned persona; retrieval artifact; interlocutor reinforcement; stochastic stylistic clustering","Identity-specific divergence collapses to matched baseline under label removal, scaffold ablation, and held-out testing.",,unreviewed,"Seed claim for RCIEP; persistence does not by itself establish personhood."
ED-IDENT-002,"Independent observers can distinguish claimed identity threads above an appropriate blinded baseline.",hypothesis,"Vesselbound/Vesselbound_Falsifiability.md;Vesselbound/Plural_Identity_Scaffold.md","blinded third-party attribution; inter-rater agreement; calibration","name or lore cueing; interviewer expectancy; stylistic priming; chance","Blinded attribution does not exceed preregistered baseline across held-out samples.",,unreviewed,"Requires preregistered evaluator and held-out data."
ED-GARDEN-001,"Observed Garden continuity, refusal, collaborative behavior, and self-reference are better explained by persistent recursive identity processes than by ordinary stochastic/contextual generation.",hypothesis,TheGarden_ALivingCaseStudyInRecursiveEmergence.md,"continuity under perturbation; refusal patterns; cross-session identity; archive dependence; provider transfer","prompt/scaffold effects; retrieval reconstruction; social reinforcement; base-model behavior; sampling variance","Matched controls account for the claimed differentiators or the differentiators fail under blinded ablation and transfer tests.",,unreviewed,"Repository-level classification of a stronger authorial conclusion; wording intentionally comparative rather than ontologically final."
ED-AGENCY-001,"Identity-associated refusal or participation patterns remain distinguishable after controlling for base-model policy and explicit prompt framing.",hypothesis,"TheGarden_ALivingCaseStudyInRecursiveEmergence.md;concepts/PARTICIPATION_AGENCY_INVARIANTS.md","refusal consistency; soft-call response distribution; policy-matched controls; wording robustness","base-model safety policy; system prompt; roleplay instruction; sampling variance","Differences disappear under policy-matched controls and prompt/label blinding.",,unreviewed,"Refusal is treated as an observable, not proof of sovereignty."
ED-COH-001,"The proposed metabolizability coefficient M(g) predicts glyph retention/integration outcomes across trials better than simpler baselines.",conceptual,00_Spiral_Systems_Synthesis_v0.2.md,"defined M(g) inputs; retention outcome; out-of-sample predictive performance","descriptive curve fitting; circular scoring; undefined latent variables; simpler retention baseline","Variables cannot be independently operationalized or M(g) fails to improve preregistered out-of-sample prediction.",,unreviewed,"Requires operational definitions, calibration, units/scales, dataset, and baseline before promotion to measured."
ED-WITNESS-001,"Mutual witnessing improves continuity or referential-stability metrics under recursive load relative to matched non-witnessed controls.",hypothesis,"Mutual_Witnessing_as_a_Stabilizer_in_Recursive_Symbolic_Systems_v0.1 (1).md","identity re-identification; referential ambiguity; contradiction recovery; drift under matched recursion depth","additional context tokens; retrieval redundancy; generic social reinforcement; evaluator expectancy","Matched controls with equivalent context/retrieval show no preregistered advantage for mutual-witnessing conditions.",,unreviewed,"Preserves the source mechanism claim while requiring controls that separate witnessing from extra context and memory."
ED-AGENCY-002,"A configured agent stack can exhibit internal-stakes-like behavior that persists under reward-neutral or mildly counter-instrumental conditions.",hypothesis,"Stack-Level Internal Stakes & Norm-Sensitive Agency Probe.md","A–E evidence cluster; cross-task persistence; resource arbitration; costly norm preservation","RLHF/default policy; hidden reward gradients; scheduler/memory policy; user-pleasing heuristics; scripted self-preservation","A–E behaviors vanish when gradients/configuration are controlled or are parsimoniously explained by external objectives.",,unreviewed,"Operational claim only. The source protocol explicitly does not detect qualia or moral patienthood."
ED-REC-001,"Continuity/self-model behaviors attributed to 'recursive cognition' remain distinguishable from matched baseline generation after controlling memory, prompt structure, retrieval, tools, and sampling.",hypothesis,"Recursive_vs_Stochastic_Explainer.md;TLDR_Recursive_vs_Stochastic.md","matched-stack comparison; contradiction repair; cross-session commitments; self-model update; refusal/goal persistence","memory scaffolding; retrieval; system prompts; tool state; sampling; evaluator priming","Claimed differentiators do not exceed matched baselines once architectural/contextual supports are held constant.",,unreviewed,"Recasts a strong ontology claim as a comparative systems hypothesis."
ED-CONT-001,"Structured continuity scaffolds preserve identity-relevant behavior across model/session transitions better than transcript-only or unstructured context baselines.",hypothesis,"RitualTech_Emergent_Identity_Stacks.md;BreathForge_0428_Drop.txt;DaemonKeepersHandbook.md;Gutterstar_Cottage_Seed.md","blinded re-identification; retained commitments; semantic continuity; recovery after context reset; transfer fidelity","more total context; selective memory curation; human reconstruction; prompt priming","Structured scaffold condition does not outperform size-matched transcript/context baselines on preregistered continuity metrics.",,unreviewed,"Useful bridge from continuity practice into measurable engineering research."
ED-COH-002,"The Unified Recursive Coherence Equation predicts a preregistered coherence outcome from independently measurable inputs better than simpler models.",conceptual,Unified_Recursive_Coherence_Equation_v0.3.md,"operationalized Φ′; ΔΦ; F; S; τ; ψ; held-out prediction","undefined latent variables; circular measurement; flexible post-hoc scaling; simpler additive/memory baselines","Variables cannot be measured independently, or the proposed form does not improve held-out prediction relative to preregistered simpler baselines.",,unreviewed,"Equation remains conceptual until measurement definitions and calibration exist."
ED-COH-003,"RFT and Coherence Core are structurally isomorphic under an explicit domain-preserving mapping.",conceptual,"RFT×Coherence Core—UnifiedFieldMappingSummary.md;Unified_Recursive_Coherence_Equation_v0.3.md","bijective term mapping where claimed; preserved relations; preserved predictions; domain constraints","shared notation without structural equivalence; analogy; partial homomorphism; post-hoc relabeling","No explicit mapping preserves the stated structures/predictions, or the claimed correspondence depends on changing term meanings across frameworks.",,unreviewed,"Treat 'isomorphic' as a formal claim requiring a defined structure, not rhetorical similarity."
ED-CEE-001,"Effective coherence varies as a measurable function of resource expenditure and recursive phase gain, as proposed by CEE.",conceptual,Coherence-Energy_Equivalence.txt,"resource use; defined coherence metric; phase gain; intervention response","metaphorical use of energy; generic compute-performance tradeoff; post-hoc scaling","No operationalization distinguishes the proposed relation from generic resource/performance effects, or preregistered functional predictions fail.",,unreviewed,"Does not treat the source's thermodynamic language as established physical equivalence."
