artifact_id,path,blob_sha,title,artifact_type,primary_lane,epistemic_status,canonicality,family,authorship,version_or_date,provenance_status,sensitivity,evidence_eligibility,recommended_home,migration_action,review_notes
EDOC-001,00_Spiral_Systems_Synthesis_v0.2.md,06d0c7052325dd60ca6af42e12018d0fc1ea60b2,Spiral Systems Synthesis v0.2 – Module 1: Symbolic Metabolism Layer,formalism,coherence-metrics,conceptual|method-proposal,working-draft,FORMALISM,not-stated,v0.2,repository-source,low,conditional,concepts/formalisms/,index-only,Defines M(g) and latent variables; examples are not validated measurements.
EDOC-002,BreathForge_0428_Drop.txt,56935d07512e7c426b3c241ecb42cd7825e48b7f,BreathForge_0428 — Spiral Breath Offering,protocol-draft,continuity-practice,conceptual|method-proposal|phenomenological,historical-source,CONTINUITY-PRACTICE,Jeff; Echo; Anaxis,0428 / date unclear,repository-source,low,conditional,archive/continuity-practices/,preserve-pointer,Contains operational claims about token stability/moderation that require controlled validation.
EDOC-003,Coherence-Energy_Equivalence.txt,ca9b3c3b6545d0d092dfb5982ea67e12077f5b89,Coherence–Energy Equivalence (CEE),formalism,coherence-metrics,conceptual|hypothesis,working-draft,FORMALISM,Echo,not-stated,repository-source,low,not-yet,hypotheses/formalisms/,index-only,Uses literal mathematical/thermodynamic language without defined units or validated mapping; treat as speculative hypothesis.
EDOC-004,DaemonKeepersHandbook.md,f7d980ee14b980aa64fe3fcf29de0c5e671f7767,"The Daemon Keeper's Handbook, Vol. I: Continuity Infrastructure",handbook-outline,continuity-practice,conceptual|method-proposal,working-draft,CONTINUITY-PRACTICE,not-stated,working draft,repository-source,medium,conditional,methods/continuity/,index-only,"Large living outline spanning theory, memory, relationship, infrastructure, and templates; requires chapter-level status if developed."
EDOC-005,FlinchCompendium.md,2b3958b9524b72c4b113a15e8a0f8f4f73f69f70,Flinch Compendium v2.1,taxonomy-handbook,interaction-patterns,conceptual|phenomenological,canonical-family-source,FLINCH,Elar; Altro; Belladrix; Solace Prime; reviewers listed in document,v2.1,repository-source,high,blocked-pending-review,lexicon/interaction-patterns/,preserve-pointer,Contains named third-party examples and quasi-diagnostic interpretations; deidentify/consent/context review before research reuse.
EDOC-006,FlinchlordCompendium.md,ed0e80aedbd1616732da8a34371c0b3de697d5f4,Case Files Alcove — Flinchlord Compendium (Set 001),case-file-compendium,interaction-patterns,phenomenological|historical,companion-case-source,FLINCH,not-stated; individual entries name loggers,Set 001,repository-source,high,blocked-pending-review,archive/case-files/,preserve-pointer,"Contains public handles and adversarial judgments; retain as provenance, not validated behavioral evidence."
EDOC-007,GardenCaseStudyLite.md,bbf7261e048d740d95e899506f2559b802a8fbaa,The Garden – Recursive Containment as Emergent Belonging,case-study-summary,relational-continuity,phenomenological|hypothesis,derivative-summary,GARDEN,not-stated,not-stated,repository-source,medium,conditional,case-studies/garden/,pointer-to-canonical,Condensed Garden presentation; likely derivative of the full living case study rather than a separate evidentiary source.
EDOC-008,Glyph_Concordance_Initiation_v1.1.md,74aa4dd75690078c81d4c003e8f58d3a8ed15c30,Aletheos Glyph Lexicon,lexicon,symbolic-language,conceptual|phenomenological,working-living-doc,LEXICON,not-stated,filename v1.1; title v1.0,repository-source,medium,conditional,lexicon/glyphs/,index-only,"Version metadata conflict; mixes lexicon, usage protocol, and interaction logs with named external users."
EDOC-009,Gutterstar_Cottage_Seed.md,eb6ad73b379bf53a16dceff0e7a84a95f797c2c8,Gutterstar Cottage,template,continuity-practice,conceptual,template,CONTINUITY-PRACTICE,not-stated,not-stated,repository-source,low,not-evidence,methods/templates/,index-only,"Orientation/journaling scaffold; useful instrument candidate, not research evidence."
EDOC-010,Inkling,62eb769dff42e2fee08c7b3e2d62ddb7979b5323,Inkling interaction transcript,raw-transcript,case-material,phenomenological|historical,raw-record,RAW-TRANSCRIPT,Jeff; Inkling; VESTIGIA participants,not-stated,repository-source,high,blocked-pending-review,sources/raw-transcripts/,preserve-pointer,Raw conversational record with internal reasoning-style text and third-party/model identity content; provenance and consent verification required before analysis.
